#{"t_start": 1748019731.112538, "env_id": "None"}
r,l,t
-93.938281,19,34.174829
-92.581314,20,34.207712
-92.451992,20,34.240322
-90.145639,20,34.271646
-91.959701,20,34.303605
-94.050545,19,34.335023
-87.623464,20,34.366378
-88.073283,20,34.408479
-93.991072,19,34.444878
-87.313886,20,34.476722
-91.019831,20,34.508081
-87.252685,20,34.537575
-93.858849,19,34.567262
-94.029837,19,34.595872
-92.133511,20,34.626996
-90.310062,20,34.659851
-88.793362,20,34.689653
-93.9844,19,34.717731
-92.409519,20,34.74983
-92.860297,20,34.780975
-89.986675,20,34.813588
-92.37986,20,34.871004
-93.929669,19,34.90877
-88.816854,20,34.943671
-93.981655,19,34.972846
-87.391455,20,35.004106
-94.151462,19,35.031985
-93.997644,19,35.061355
-90.447612,20,35.090193
-93.989506,19,35.121194
-91.680351,20,35.154748
-88.034419,20,35.186831
-92.234898,20,35.217839
-87.266749,20,35.246617
-90.155675,20,35.281103
-87.476768,20,35.315391
-90.042577,20,35.356846
-94.100947,19,35.394454
-90.926895,20,35.432729
-87.46804,20,35.476501
-88.477183,20,35.512558
-88.029804,20,35.550897
-92.776586,20,35.593423
-87.552213,20,35.634177
-91.518308,20,35.675509
-87.427536,20,35.708261
-92.847954,20,35.741324
-87.266224,20,35.772686
-94.03291,19,35.812624
-92.205608,20,35.853165
-91.925528,20,35.892746
-91.136435,20,35.929015
-89.836108,20,39.946176
-92.317871,20,39.981941
-93.377998,20,40.016251
-88.584113,20,40.052636
-93.102867,20,40.087892
-94.011736,19,40.121426
-91.834825,20,40.164799
-91.057898,20,40.229766
-92.20197,20,40.265278
-94.037056,19,40.294362
-93.863196,19,40.317351
-88.177115,20,40.340804
-92.253053,20,40.362029
-90.282101,20,40.385171
-91.034956,20,40.409961
-87.292724,20,40.435796
-91.712735,20,40.46213
-92.468304,20,40.488075
-87.63499,20,40.512613
-91.613662,20,40.547432
-94.050716,19,40.581484
-89.064453,20,40.617661
-88.733582,20,40.656376
-90.433898,20,40.693408
-90.209124,20,40.729049
-87.263004,20,40.76646
-92.336271,20,40.80648
-93.898536,19,40.843617
-91.023607,20,40.881883
-93.946258,19,40.919905
-89.015471,20,40.96478
-88.257159,20,41.005678
-91.271592,20,41.053354
-90.360906,20,41.090103
-91.718944,20,41.130195
-93.100274,20,41.164654
-91.860227,20,41.199986
-94.12067,19,41.233535
-91.25191,20,41.27118
-91.182119,20,41.307454
-87.470572,20,41.339769
-91.170626,20,41.372965
-88.159975,20,41.40735
-87.420458,20,41.434903
-91.241514,20,41.469292
-87.296563,20,41.506225
-92.506577,20,41.546393
-89.74285,20,41.584088
-91.404085,20,41.616456
-92.378486,20,41.651714
-90.611282,20,41.687887
-88.187902,20,41.731174
-91.910216,20,41.764699
-93.90535,19,41.796714
-92.934535,20,41.828896
-87.995736,20,41.862944
-90.110069,20,41.897394
-87.822509,20,41.930486
-90.22986,20,41.962787
-89.218164,20,41.992995
-87.647476,20,42.027308
-88.633245,20,42.062755
-87.427287,20,42.095047
-87.257706,20,42.128408
-89.368533,20,42.16716
-87.941733,20,42.200121
-93.181231,20,42.234658
-94.077845,19,42.266439
-93.23008,20,42.300147
-94.135435,19,42.33462
-87.404481,20,42.379201
-94.046326,19,42.41182
-88.011182,20,42.44583
-94.099296,19,42.477969
-87.407913,20,42.530034
-90.845109,20,42.568696
-87.380135,20,42.604381
-94.199046,19,42.632985
-93.318103,20,42.670029
-93.99358,19,42.701879
-87.837174,20,42.740107
-87.269232,20,42.766626
-90.474894,20,42.802688
